srcIp,dstIp,srcPort,dstPort
2886991875,2902458367,137,137
2886336552,2902458367,137,137
2886336777,167837773,5067,80
2886336785,167772173,5040,80
2887647628,167772174,9628,80
2887647858,167772169,8749,80
2887647661,167772172,9625,80
2886337126,167772171,3526,80
2887647685,167772167,9627,80
2886336824,167772168,5065,80
2887647678,167772168,9624,80
178038228,2887647236,2629,80
2886336781,167772173,5066,80
2887647677,167772169,9621,80
176870930,2886991887,2632,80
2886336778,167772174,5063,80
2887647654,167772172,9622,80
2887647635,167772166,9617,80
2886336789,167772173,5064,80
2886336797,167772169,5061,80
2886336821,167772166,5062,80
2886336827,167837772,5060,80
2886337082,167772173,3517,80
2887647633,167772168,9616,80
2887647680,167772172,9610,80
2887647795,167837771,8735,80
168643889,2887647236,2626,80
2887647644,167772166,9613,80
2886337164,167772165,3514,80
2887647605,167772167,9612,80
2887647812,167837772,8725,80
2886336828,167772168,5059,80
2886336801,167772167,5056,80
2886336970,167772170,4777,80
2886336812,167837771,5058,80
2886337170,167772172,3505,80
2886336852,167837796,5054,80
2886336814,167837772,5057,80
2886337015,167772172,4775,80
2886336883,167837773,3227,80
2887647627,167772174,9605,80
2886337121,167772173,3497,80
2887647561,167772165,9030,80
2887647521,167772170,9009,80
2887647511,167772168,9008,80
2886337012,167772170,4776,80
2887647874,167772173,8714,80
2886336794,167772169,5055,80
2887647710,167772173,6191,80
2886336853,167772170,5053,80
